week,home_team,away_team,neutral_site
Week 3 (Sept 11-13),Iowa,UMass,False
Week 4 (Sept 18-20),@ Rutgers,Iowa,False
Week 5 (Sept 25-27),Iowa,Indiana,False
Week 7 (Oct 8-11),@ Wisconsin,Iowa,False
Week 8 (Oct 14-18),Iowa,Penn State,False
Week 9 (Oct 21-25),Iowa,Minnesota,False
Week 11 (Nov 4-8),Iowa,Oregon,False
Week 12 (Nov 11-15),@ USC,Iowa,False
Week 13 (Nov 18-22),Iowa,Michigan State,False
Week 14 (Nov 25-29),@ Nebraska,Iowa,False
Week 1 (Aug 28-Sept 1),Maryland,Florida Atlantic,False
Week 2 (Sept 5-6),Maryland,Northern Illinois,False
Week 3 (Sept 11-13),Maryland,Towson,False
Week 4 (Sept 18-20),@ Wisconsin,Maryland,False
Week 6 (Oct 2-4),Maryland,Washington,False
Week 7 (Oct 8-11),Maryland,Nebraska,False
Week 8 (Oct 14-18),@ UCLA,Maryland,False
Week 10 (Oct 28-Nov 1),Maryland,Indiana,False
Week 11 (Nov 4-8),@ Rutgers,Maryland,False
Week 12 (Nov 11-15),@ Illinois,Maryland,False
Week 13 (Nov 18-22),Maryland,Michigan,False
Week 14 (Nov 25-29),Maryland,vs Michigan State,True
Week 1 (Aug 28-Sept 1),Michigan,New Mexico,False
Week 2 (Sept 5-6),@ Oklahoma,Michigan,False
Week 3 (Sept 11-13),Michigan,Central Michigan,False
Week 4 (Sept 18-20),@ Nebraska,Michigan,False
Week 6 (Oct 2-4),Michigan,Wisconsin,False
Week 7 (Oct 8-11),@ USC,Michigan,False
Week 8 (Oct 14-18),Michigan,Washington,False
Week 9 (Oct 21-25),@ Michigan State,Michigan,False
Week 10 (Oct 28-Nov 1),Michigan,Purdue,False
Week 12 (Nov 11-15),@ Northwestern,Michigan,False
Week 13 (Nov 18-22),@ Maryland,Michigan,False
Week 14 (Nov 25-29),Michigan,Ohio State,False
Week 1 (Aug 28-Sept 1),Michigan State,Western Michigan,False
Week 2 (Sept 5-6),Michigan State,Boston College,False
Week 3 (Sept 11-13),Michigan State,Youngstown State,False
Week 4 (Sept 18-20),@ USC,Michigan State,False
Week 6 (Oct 2-4),@ Nebraska,Michigan State,False
Week 7 (Oct 8-11),Michigan State,UCLA,False
Week 8 (Oct 14-18),@ Indiana,Michigan State,False
Week 9 (Oct 21-25),Michigan State,Michigan,False
Week 10 (Oct 28-Nov 1),@ Minnesota,Michigan State,False
Week 12 (Nov 11-15),Michigan State,Penn State,False
Week 13 (Nov 18-22),@ Iowa,Michigan State,False
Week 14 (Nov 25-29),Michigan State,vs Maryland,True
Week 1 (Aug 28-Sept 1),Minnesota,Buffalo,False
Week 2 (Sept 5-6),Minnesota,Northwestern State,False
Week 3 (Sept 11-13),@ Cal,Minnesota,False
Week 5 (Sept 25-27),Minnesota,Rutgers,False
Week 6 (Oct 2-4),@ Ohio State,Minnesota,False
Week 7 (Oct 8-11),Minnesota,Purdue,False
Week 8 (Oct 14-18),Minnesota,Nebraska,False
Week 9 (Oct 21-25),@ Iowa,Minnesota,False
Week 10 (Oct 28-Nov 1),Minnesota,Michigan State,False
Week 12 (Nov 11-15),@ Oregon,Minnesota,False
Week 13 (Nov 18-22),@ Northwestern,Minnesota,False
Week 14 (Nov 25-29),Minnesota,Wisconsin,False
Week 1 (Aug 28-Sept 1),Nebraska,vs Cincinnati,True
Week 2 (Sept 5-6),Nebraska,Akron,False
Week 3 (Sept 11-13),Nebraska,Houston Christian,False
Week 4 (Sept 18-20),Nebraska,Michigan,False
Week 6 (Oct 2-4),Nebraska,Michigan State,False
Week 7 (Oct 8-11),@ Maryland,Nebraska,False
Week 8 (Oct 14-18),@ Minnesota,Nebraska,False
Week 9 (Oct 21-25),Nebraska,Northwestern,False
Week 10 (Oct 28-Nov 1),Nebraska,USC,False
Week 11 (Nov 4-8),@ UCLA,Nebraska,False
Week 13 (Nov 18-22),@ Penn State,Nebraska,False
Week 14 (Nov 25-29),Nebraska,Iowa,False
Week 1 (Aug 28-Sept 1),@ Tulane,Northwestern,False
Week 2 (Sept 5-6),Northwestern,Western Illinois,False
Week 3 (Sept 11-13),Northwestern,Oregon,False
Week 5 (Sept 25-27),Northwestern,UCLA,False
Week 6 (Oct 2-4),Northwestern,Louisiana Monroe,False
Week 7 (Oct 8-11),@ Penn State,Northwestern,False
Week 8 (Oct 14-18),Northwestern,Purdue,False
Week 9 (Oct 21-25),@ Nebraska,Northwestern,False
Week 11 (Nov 4-8),@ USC,Northwestern,False
Week 12 (Nov 11-15),Northwestern,Michigan,False
Week 13 (Nov 18-22),Northwestern,Minnesota,False
Week 14 (Nov 25-29),@ Illinois,Northwestern,False
Week 1 (Aug 28-Sept 1),Ohio State,Texas,False
Week 2 (Sept 5-6),Ohio State,Grambling State,False
Week 3 (Sept 11-13),Ohio State,Ohio,False
Week 5 (Sept 25-27),@ Washington,Ohio State,False
Week 6 (Oct 2-4),Ohio State,Minnesota,False
Week 7 (Oct 8-11),@ Illinois,Ohio State,False
Week 8 (Oct 14-18),@ Wisconsin,Ohio State,False
Week 10 (Oct 28-Nov 1),Ohio State,Penn State,False
Week 11 (Nov 4-8),@ Purdue,Ohio State,False
Week 12 (Nov 11-15),Ohio State,UCLA,False
Week 13 (Nov 18-22),Ohio State,Rutgers,False
Week 14 (Nov 25-29),@ Michigan,Ohio State,False
Week 1 (Aug 28-Sept 1),Oregon,Montana State,False
Week 2 (Sept 5-6),Oregon,Oklahoma State,False
Week 3 (Sept 11-13),@ Northwestern,Oregon,False
Week 4 (Sept 18-20),Oregon,Oregon State,False
Week 5 (Sept 25-27),@ Penn State,Oregon,False
Week 7 (Oct 8-11),Oregon,Indiana,False
Week 8 (Oct 14-18),@ Rutgers,Oregon,False
Week 9 (Oct 21-25),Oregon,Wisconsin,False
Week 11 (Nov 4-8),@ Iowa,Oregon,False
Week 12 (Nov 11-15),Oregon,Minnesota,False
Week 13 (Nov 18-22),Oregon,USC,False
Week 14 (Nov 25-29),@ Washington,Oregon,False
Week 1 (Aug 28-Sept 1),Penn State,Nevada,False
Week 2 (Sept 5-6),Penn State,Florida International,False
Week 3 (Sept 11-13),Penn State,Villanova,False
Week 5 (Sept 25-27),Penn State,Oregon,False
Week 6 (Oct 2-4),@ UCLA,Penn State,False
Week 7 (Oct 8-11),Penn State,Northwestern,False
Week 8 (Oct 14-18),@ Iowa,Penn State,False
Week 10 (Oct 28-Nov 1),@ Ohio State,Penn State,False
Week 11 (Nov 4-8),Penn State,Indiana,False
Week 12 (Nov 11-15),@ Michigan State,Penn State,False
Week 13 (Nov 18-22),Penn State,Nebraska,False
Week 14 (Nov 25-29),@ Rutgers,Penn State,False
Week 1 (Aug 28-Sept 1),Purdue,Ball State,False
Week 2 (Sept 5-6),Purdue,Southern Illinois,False
Week 3 (Sept 11-13),Purdue,USC,False
Week 4 (Sept 18-20),@ Notre Dame,Purdue,False
Week 6 (Oct 2-4),Purdue,Illinois,False
Week 7 (Oct 8-11),@ Minnesota,Purdue,False
Week 8 (Oct 14-18),@ Northwestern,Purdue,False
Week 9 (Oct 21-25),Purdue,Rutgers,False
Week 10 (Oct 28-Nov 1),@ Michigan,Purdue,False
Week 11 (Nov 4-8),Purdue,Ohio State,False
Week 12 (Nov 11-15),@ Washington,Purdue,False
Week 14 (Nov 25-29),Purdue,Indiana,False
Week 1 (Aug 28-Sept 1),Rutgers,Ohio,False
Week 2 (Sept 5-6),Rutgers,Miami (OH),False
Week 3 (Sept 11-13),Rutgers,Norfolk State,False
Week 4 (Sept 18-20),Rutgers,Iowa,False
Week 5 (Sept 25-27),@ Minnesota,Rutgers,False
Week 7 (Oct 8-11),@ Washington,Rutgers,False
Week 8 (Oct 14-18),Rutgers,Oregon,False
Week 9 (Oct 21-25),@ Purdue,Rutgers,False
Week 10 (Oct 28-Nov 1),@ Illinois,Rutgers,False
Week 11 (Nov 4-8),Rutgers,Maryland,False
Week 13 (Nov 18-22),@ Ohio State,Rutgers,False
Week 14 (Nov 25-29),Rutgers,Penn State,False
Week 1 (Aug 28-Sept 1),UCLA,Utah,False
Week 2 (Sept 5-6),@ UNLV,UCLA,False
Week 3 (Sept 11-13),UCLA,New Mexico,False
Week 5 (Sept 25-27),@ Northwestern,UCLA,False
Week 6 (Oct 2-4),UCLA,Penn State,False
Week 7 (Oct 8-11),@ Michigan State,UCLA,False
Week 8 (Oct 14-18),UCLA,Maryland,False
Week 9 (Oct 21-25),@ Indiana,UCLA,False
Week 11 (Nov 4-8),UCLA,Nebraska,False
Week 12 (Nov 11-15),@ Ohio State,UCLA,False
Week 13 (Nov 18-22),UCLA,Washington,False
Week 14 (Nov 25-29),@ USC,UCLA,False
Week 1 (Aug 28-Sept 1),USC,Missouri State,False
Week 2 (Sept 5-6),USC,Georgia Southern,False
Week 3 (Sept 11-13),@ Purdue,USC,False
Week 4 (Sept 18-20),USC,Michigan State,False
Week 5 (Sept 25-27),@ Illinois,USC,False
Week 7 (Oct 8-11),USC,Michigan,False
Week 8 (Oct 14-18),@ Notre Dame,USC,False
Week 10 (Oct 28-Nov 1),@ Nebraska,USC,False
Week 11 (Nov 4-8),USC,Northwestern,False
Week 12 (Nov 11-15),USC,Iowa,False
Week 13 (Nov 18-22),@ Oregon,USC,False
Week 14 (Nov 25-29),USC,UCLA,False
Week 1 (Aug 28-Sept 1),Washington,Colorado State,False
Week 2 (Sept 5-6),Washington,UC Davis,False
Week 4 (Sept 18-20),@ Washington State,Washington,False
Week 5 (Sept 25-27),Washington,Ohio State,False
Week 6 (Oct 2-4),@ Maryland,Washington,False
Week 7 (Oct 8-11),Washington,Rutgers,False
Week 8 (Oct 14-18),@ Michigan,Washington,False
Week 9 (Oct 21-25),Washington,Illinois,False
Week 11 (Nov 4-8),@ Wisconsin,Washington,False
Week 12 (Nov 11-15),Washington,Purdue,False
Week 13 (Nov 18-22),@ UCLA,Washington,False
Week 14 (Nov 25-29),Washington,Oregon,False
Week 1 (Aug 28-Sept 1),Wisconsin,Miami (OH),False
Week 2 (Sept 5-6),Wisconsin,Middle Tennessee,False
Week 3 (Sept 11-13),@ Alabama,Wisconsin,False
Week 4 (Sept 18-20),Wisconsin,Maryland,False
Week 6 (Oct 2-4),@ Michigan,Wisconsin,False
Week 7 (Oct 8-11),Wisconsin,Iowa,False
Week 8 (Oct 14-18),Wisconsin,Ohio State,False
Week 9 (Oct 21-25),@ Oregon,Wisconsin,False
Week 11 (Nov 4-8),Wisconsin,Washington,False
Week 12 (Nov 11-15),@ Indiana,Wisconsin,False
Week 13 (Nov 18-22),Wisconsin,Illinois,False
Week 14 (Nov 25-29),@ Minnesota,Wisconsin,False
Week 1 (Aug 28-Sept 1),@ Florida State,Alabama,False
Week 2 (Sept 5-6),Alabama,Louisiana Monroe,False
Week 3 (Sept 11-13),Alabama,Wisconsin,False
Week 5 (Sept 25-27),@ Georgia,Alabama,False
Week 6 (Oct 2-4),Alabama,Vanderbilt,False
Week 7 (Oct 8-11),@ Missouri,Alabama,False
Week 8 (Oct 14-18),Alabama,Tennessee,False
Week 9 (Oct 21-25),@ South Carolina,Alabama,False
Week 11 (Nov 4-8),Alabama,LSU,False
Week 12 (Nov 11-15),Alabama,Oklahoma,False
Week 13 (Nov 18-22),Alabama,Eastern Illinois,False
Week 14 (Nov 25-29),@ Auburn,Alabama,False
Week 1 (Aug 28-Sept 1),Arkansas,Alabama A&M,False
Week 2 (Sept 5-6),Arkansas,Arkansas State,False
Week 3 (Sept 11-13),@ Ole Miss,Arkansas,False
Week 4 (Sept 18-20),@ Memphis,Arkansas,False
Week 5 (Sept 25-27),Arkansas,Notre Dame,False
Week 7 (Oct 8-11),@ Tennessee,Arkansas,False
Week 8 (Oct 14-18),Arkansas,Texas A&M,False
Week 9 (Oct 21-25),Arkansas,Auburn,False
Week 10 (Oct 28-Nov 1),Arkansas,Mississippi State,False
Week 12 (Nov 11-15),@ LSU,Arkansas,False
Week 13 (Nov 18-22),@ Texas,Arkansas,False
Week 14 (Nov 25-29),Arkansas,Missouri,False
Week 1 (Aug 28-Sept 1),@ Baylor,Auburn,False
Week 2 (Sept 5-6),Auburn,Ball State,False
Week 3 (Sept 11-13),Auburn,South Alabama,False
Week 4 (Sept 18-20),@ Oklahoma,Auburn,False
Week 5 (Sept 25-27),@ Texas A&M,Auburn,False
Week 7 (Oct 8-11),Auburn,Georgia,False
Week 8 (Oct 14-18),Auburn,Missouri,False
Week 9 (Oct 21-25),@ Arkansas,Auburn,False
Week 10 (Oct 28-Nov 1),Auburn,Kentucky,False
Week 11 (Nov 4-8),@ Vanderbilt,Auburn,False
Week 13 (Nov 18-22),Auburn,Mercer,False
Week 14 (Nov 25-29),Auburn,Alabama,False
Week 1 (Aug 28-Sept 1),Florida,Long Island,False
Week 2 (Sept 5-6),Florida,USF,False
Week 3 (Sept 11-13),@ LSU,Florida,False
Week 4 (Sept 18-20),@ Miami (FL),Florida,False
Week 6 (Oct 2-4),Florida,Texas,False
Week 7 (Oct 8-11),@ Texas A&M,Florida,False
Week 8 (Oct 14-18),Florida,Mississippi State,False
Week 10 (Oct 28-Nov 1),Florida,vs Georgia,True
Week 11 (Nov 4-8),@ Kentucky,Florida,False
Week 12 (Nov 11-15),@ Ole Miss,Florida,False
Week 13 (Nov 18-22),Florida,Tennessee,False
Week 14 (Nov 25-29),Florida,Florida State,False
Week 1 (Aug 28-Sept 1),Georgia,Marshall,False
Week 2 (Sept 5-6),Georgia,Austin Peay,False
Week 3 (Sept 11-13),@ Tennessee,Georgia,False
Week 5 (Sept 25-27),Georgia,Alabama,False
Week 6 (Oct 2-4),Georgia,Kentucky,False
Week 7 (Oct 8-11),@ Auburn,Georgia,False
Week 8 (Oct 14-18),Georgia,Ole Miss,False
Week 10 (Oct 28-Nov 1),Georgia,vs Florida,True
Week 11 (Nov 4-8),@ Mississippi State,Georgia,False
Week 12 (Nov 11-15),Georgia,Texas,False
Week 13 (Nov 18-22),Georgia,Charlotte,False
Week 14 (Nov 25-29),@ Georgia Tech,Georgia,False
Week 1 (Aug 28-Sept 1),Kentucky,Toledo,False
Week 2 (Sept 5-6),Kentucky,Ole Miss,False
Week 3 (Sept 11-13),Kentucky,Eastern Michigan,False
Week 5 (Sept 25-27),@ South Carolina,Kentucky,False
Week 6 (Oct 2-4),@ Georgia,Kentucky,False
Week 8 (Oct 14-18),Kentucky,Texas,False
Week 9 (Oct 21-25),Kentucky,Tennessee,False
Week 10 (Oct 28-Nov 1),@ Auburn,Kentucky,False
Week 11 (Nov 4-8),Kentucky,Florida,False
Week 12 (Nov 11-15),Kentucky,Tennessee Tech,False
Week 13 (Nov 18-22),@ Vanderbilt,Kentucky,False
Week 14 (Nov 25-29),@ Louisville,Kentucky,False
Week 1 (Aug 28-Sept 1),@ Clemson,LSU,False
Week 2 (Sept 5-6),LSU,Louisiana Tech,False
Week 3 (Sept 11-13),LSU,Florida,False
Week 4 (Sept 18-20),LSU,Southeastern LA,False
Week 5 (Sept 25-27),@ Ole Miss,LSU,False
Week 7 (Oct 8-11),LSU,South Carolina,False
Week 8 (Oct 14-18),@ Vanderbilt,LSU,False
Week 9 (Oct 21-25),LSU,Texas A&M,False
Week 11 (Nov 4-8),@ Alabama,LSU,False
Week 12 (Nov 11-15),LSU,Arkansas,False
Week 13 (Nov 18-22),LSU,Western Kentucky,False
Week 14 (Nov 25-29),@ Oklahoma,LSU,False
Week 1 (Aug 28-Sept 1),@ Southern Miss,Mississippi State,False
Week 2 (Sept 5-6),Mississippi State,Arizona State,False
Week 3 (Sept 11-13),Mississippi State,Alcorn State,False
Week 4 (Sept 18-20),Mississippi State,Northern Illinois,False
Week 5 (Sept 25-27),Mississippi State,Tennessee,False
Week 6 (Oct 2-4),@ Texas A&M,Mississippi State,False
Week 8 (Oct 14-18),@ Florida,Mississippi State,False
Week 9 (Oct 21-25),Mississippi State,Texas,False
Week 10 (Oct 28-Nov 1),@ Arkansas,Mississippi State,False
Week 11 (Nov 4-8),Mississippi State,Georgia,False
Week 12 (Nov 11-15),@ Missouri,Mississippi State,False
Week 14 (Nov 25-29),Mississippi State,Ole Miss,False
Week 1 (Aug 28-Sept 1),Missouri,Central Arkansas,False
Week 2 (Sept 5-6),Missouri,Kansas,False
Week 3 (Sept 11-13),Missouri,Louisiana,False
Week 4 (Sept 18-20),Missouri,South Carolina,False
Week 5 (Sept 25-27),Missouri,UMass,False
Week 7 (Oct 8-11),Missouri,Alabama,False
Week 8 (Oct 14-18),@ Auburn,Missouri,False
Week 9 (Oct 21-25),@ Vanderbilt,Missouri,False
Week 11 (Nov 4-8),Missouri,Texas A&M,False
Week 12 (Nov 11-15),Missouri,Mississippi State,False
Week 13 (Nov 18-22),@ Oklahoma,Missouri,False
Week 14 (Nov 25-29),@ Arkansas,Missouri,False
Week 1 (Aug 28-Sept 1),Oklahoma,Illinois State,False
Week 2 (Sept 5-6),Oklahoma,Michigan,False
Week 3 (Sept 11-13),@ Temple,Oklahoma,False
Week 4 (Sept 18-20),Oklahoma,Auburn,False
Week 6 (Oct 2-4),Oklahoma,Kent State,False
Week 7 (Oct 8-11),Oklahoma,vs Texas,True
Week 8 (Oct 14-18),@ South Carolina,Oklahoma,False
Week 9 (Oct 21-25),Oklahoma,Ole Miss,False
Week 10 (Oct 28-Nov 1),@ Tennessee,Oklahoma,False
Week 12 (Nov 11-15),@ Alabama,Oklahoma,False
Week 13 (Nov 18-22),Oklahoma,Missouri,False
Week 14 (Nov 25-29),Oklahoma,LSU,False
Week 1 (Aug 28-Sept 1),Ole Miss,Georgia State,False
Week 2 (Sept 5-6),@ Kentucky,Ole Miss,False
Week 3 (Sept 11-13),Ole Miss,Arkansas,False
Week 4 (Sept 18-20),Ole Miss,Tulane,False
Week 5 (Sept 25-27),Ole Miss,LSU,False
Week 7 (Oct 8-11),Ole Miss,Washington State,False
Week 8 (Oct 14-18),@ Georgia,Ole Miss,False
Week 9 (Oct 21-25),@ Oklahoma,Ole Miss,False
Week 10 (Oct 28-Nov 1),Ole Miss,South Carolina,False
Week 11 (Nov 4-8),Ole Miss,The Citadel,False
Week 12 (Nov 11-15),Ole Miss,Florida,False
Week 14 (Nov 25-29),@ Mississippi State,Ole Miss,False
Week 1 (Aug 28-Sept 1),South Carolina,vs Virginia Tech,True
Week 2 (Sept 5-6),South Carolina,SC State,False
Week 3 (Sept 11-13),South Carolina,Vanderbilt,False
Week 4 (Sept 18-20),@ Missouri,South Carolina,False
Week 5 (Sept 25-27),South Carolina,Kentucky,False
Week 7 (Oct 8-11),@ LSU,South Carolina,False
Week 8 (Oct 14-18),South Carolina,Oklahoma,False
Week 9 (Oct 21-25),South Carolina,Alabama,False
Week 10 (Oct 28-Nov 1),@ Ole Miss,South Carolina,False
Week 12 (Nov 11-15),@ Texas A&M,South Carolina,False
Week 13 (Nov 18-22),South Carolina,Coastal Carolina,False
Week 14 (Nov 25-29),South Carolina,Clemson,False
Week 1 (Aug 28-Sept 1),Tennessee,vs Syracuse,True
Week 2 (Sept 5-6),Tennessee,ETSU,False
Week 3 (Sept 11-13),Tennessee,Georgia,False
Week 4 (Sept 18-20),Tennessee,UAB,False
Week 5 (Sept 25-27),@ Mississippi State,Tennessee,False
Week 7 (Oct 8-11),Tennessee,Arkansas,False
Week 8 (Oct 14-18),@ Alabama,Tennessee,False
Week 9 (Oct 21-25),@ Kentucky,Tennessee,False
Week 10 (Oct 28-Nov 1),Tennessee,Oklahoma,False
Week 12 (Nov 11-15),Tennessee,New Mexico State,False
Week 13 (Nov 18-22),@ Florida,Tennessee,False
Week 14 (Nov 25-29),Tennessee,Vanderbilt,False
Week 1 (Aug 28-Sept 1),@ Ohio State,Texas,False
Week 2 (Sept 5-6),Texas,San Jose State,False
Week 3 (Sept 11-13),Texas,UTEP,False
Week 4 (Sept 18-20),Texas,Sam Houston,False
Week 6 (Oct 2-4),@ Florida,Texas,False
Week 7 (Oct 8-11),Texas,vs Oklahoma,True
Week 8 (Oct 14-18),@ Kentucky,Texas,False
Week 9 (Oct 21-25),@ Mississippi State,Texas,False
Week 10 (Oct 28-Nov 1),Texas,Vanderbilt,False
Week 12 (Nov 11-15),@ Georgia,Texas,False
Week 13 (Nov 18-22),Texas,Arkansas,False
Week 14 (Nov 25-29),Texas,Texas A&M,False
Week 1 (Aug 28-Sept 1),Texas A&M,UTSA,False
Week 2 (Sept 5-6),Texas A&M,Utah State,False
Week 3 (Sept 11-13),@ Notre Dame,Texas A&M,False
Week 5 (Sept 25-27),Texas A&M,Auburn,False
Week 6 (Oct 2-4),Texas A&M,Mississippi State,False
Week 7 (Oct 8-11),Texas A&M,Florida,False
Week 8 (Oct 14-18),@ Arkansas,Texas A&M,False
Week 9 (Oct 21-25),@ LSU,Texas A&M,False
Week 11 (Nov 4-8),@ Missouri,Texas A&M,False
Week 12 (Nov 11-15),Texas A&M,South Carolina,False
Week 13 (Nov 18-22),Texas A&M,Samford,False
Week 14 (Nov 25-29),@ Texas,Texas A&M,False
Week 1 (Aug 28-Sept 1),Vanderbilt,Charleston Southern,False
Week 2 (Sept 5-6),@ Virginia Tech,Vanderbilt,False
Week 3 (Sept 11-13),@ South Carolina,Vanderbilt,False
Week 4 (Sept 18-20),Vanderbilt,Georgia State,False
Week 5 (Sept 25-27),Vanderbilt,Utah State,False
Week 6 (Oct 2-4),@ Alabama,Vanderbilt,False
Week 8 (Oct 14-18),Vanderbilt,LSU,False
Week 9 (Oct 21-25),Vanderbilt,Missouri,False
Week 10 (Oct 28-Nov 1),@ Texas,Vanderbilt,False
Week 11 (Nov 4-8),Vanderbilt,Auburn,False
Week 13 (Nov 18-22),Vanderbilt,Kentucky,False
Week 14 (Nov 25-29),@ Tennessee,Vanderbilt,False
Week 1 (Aug 28-Sept 1),Army,Tarleton State,False
Week 2 (Sept 5-6),@ Kansas State,Army,False
Week 4 (Sept 18-20),Army,North Texas,False
Week 5 (Sept 25-27),@ East Carolina,Army,False
Week 6 (Oct 2-4),@ UAB,Army,False
Week 7 (Oct 8-11),Army,Charlotte,False
Week 8 (Oct 14-18),@ Tulane,Army,False
Week 10 (Oct 28-Nov 1),@ Air Force,Army,False
Week 11 (Nov 4-8),Army,Temple,False
Week 13 (Nov 18-22),Army,Tulsa,False
Week 14 (Nov 25-29),@ UTSA,Army,False
Week 1 (Aug 28-Sept 1),Charlotte,vs Appalachian State,True
Week 2 (Sept 5-6),Charlotte,North Carolina,False
Week 3 (Sept 11-13),Charlotte,Monmouth,False
Week 4 (Sept 18-20),Charlotte,Rice,False
Week 6 (Oct 2-4),@ USF,Charlotte,False
Week 7 (Oct 8-11),@ Army,Charlotte,False
Week 8 (Oct 14-18),Charlotte,Temple,False
Week 9 (Oct 21-25),Charlotte,North Texas,False
Week 11 (Nov 4-8),@ East Carolina,Charlotte,False
Week 12 (Nov 11-15),Charlotte,UTSA,False
Week 13 (Nov 18-22),@ Georgia,Charlotte,False
Week 14 (Nov 25-29),@ Tulane,Charlotte,False
Week 1 (Aug 28-Sept 1),@ NC State,East Carolina,False
Week 2 (Sept 5-6),East Carolina,Campbell,False
Week 3 (Sept 11-13),@ Coastal Carolina,East Carolina,False
Week 4 (Sept 18-20),East Carolina,BYU,False
Week 5 (Sept 25-27),East Carolina,Army,False
Week 7 (Oct 8-11),@ Tulane,East Carolina,False
Week 8 (Oct 14-18),East Carolina,Tulsa,False
Week 10 (Oct 28-Nov 1),@ Temple,East Carolina,False
Week 11 (Nov 4-8),East Carolina,Charlotte,False
Week 12 (Nov 11-15),East Carolina,Memphis,False
Week 13 (Nov 18-22),@ UTSA,East Carolina,False
Week 14 (Nov 25-29),@ Florida Atlantic,East Carolina,False
Week 1 (Aug 28-Sept 1),@ Maryland,Florida Atlantic,False
Week 2 (Sept 5-6),Florida Atlantic,Florida A&M,False
Week 3 (Sept 11-13),@ Florida International,Florida Atlantic,False
Week 5 (Sept 25-27),Florida Atlantic,Memphis,False
Week 6 (Oct 2-4),@ Rice,Florida Atlantic,False
Week 7 (Oct 8-11),Florida Atlantic,UAB,False
Week 8 (Oct 14-18),@ USF,Florida Atlantic,False
